iter	Passed	Remaining
0	166	166326
1	183	91327
2	197	65687
3	210	52477
4	227	45371
5	245	40705
6	260	36927
7	276	34293
8	293	32272
9	314	31167
10	330	29721
11	348	28659
12	364	27670
13	376	26530
14	390	25622
15	408	25100
16	427	24708
17	445	24311
18	464	23971
19	481	23586
20	495	23097
21	510	22684
22	530	22519
23	548	22297
24	577	22505
25	592	22201
26	605	21832
27	621	21571
28	637	21343
29	649	21010
30	663	20730
31	676	20463
32	690	20247
33	705	20052
34	719	19838
35	734	19674
36	746	19438
37	760	19254
38	776	19127
39	793	19038
40	811	18977
41	825	18818
42	842	18739
43	856	18600
44	873	18538
45	888	18435
46	904	18330
47	921	18281
48	940	18249
49	953	18125
50	969	18042
51	986	17978
52	1002	17908
53	1016	17810
54	1031	17715
55	1047	17657
56	1062	17584
57	1076	17486
58	1091	17404
59	1106	17332
60	1121	17265
61	1135	17179
62	1148	17076
63	1167	17069
64	1180	16987
65	1195	16919
66	1205	16789
67	1222	16760
68	1236	16690
69	1254	16669
70	1269	16610
71	1285	16572
72	1299	16502
73	1314	16449
74	1327	16375
75	1347	16383
76	1363	16349
77	1377	16287
78	1389	16201
79	1404	16148
80	1418	16094
81	1427	15984
82	1440	15919
83	1454	15859
84	1467	15798
85	1481	15742
86	1494	15684
87	1507	15620
88	1521	15571
89	1535	15530
90	1548	15467
91	1565	15451
92	1581	15423
93	1594	15364
94	1606	15305
95	1622	15279
96	1635	15224
97	1650	15195
98	1665	15160
99	1679	15117
100	1695	15094
101	1709	15050
102	1720	14980
103	1735	14953
104	1747	14893
105	1759	14841
106	1776	14827
107	1789	14780
108	1806	14768
109	1825	14771
110	1844	14773
111	1862	14768
112	1879	14752
113	1895	14732
114	1914	14729
115	1929	14707
116	1947	14696
117	1966	14700
118	1979	14652
119	1994	14627
120	2009	14597
121	2020	14537
122	2035	14512
123	2050	14483
124	2064	14448
125	2076	14400
126	2094	14398
127	2107	14354
128	2117	14300
129	2132	14272
130	2144	14223
131	2158	14194
132	2212	14419
133	2308	14918
134	2361	15130
135	2432	15454
136	2477	15603
137	2553	15951
138	2625	16266
139	2671	16408
140	2718	16562
141	2776	16778
142	2835	16990
143	2902	17256
144	2951	17403
145	3010	17610
146	3072	17830
147	3120	17963
148	3213	18355
149	3246	18397
150	3288	18487
151	3394	18940
152	3457	19141
153	3548	19494
154	3597	19610
155	3655	19775
156	3721	19981
157	3772	20103
158	3820	20205
159	3878	20360
160	3912	20388
161	3969	20533
162	4076	20930
163	4122	21012
164	4177	21140
165	4224	21222
166	4291	21405
167	4376	21672
168	4467	21965
169	4533	22131
170	4592	22263
171	4658	22427
172	4690	22422
173	4744	22522
174	4789	22577
175	4839	22658
176	4895	22761
177	4934	22787
178	4983	22858
179	5032	22925
180	5091	23036
181	5128	23050
182	5186	23153
183	5275	23396
184	5326	23467
185	5382	23556
186	5441	23658
187	5504	23773
188	5551	23822
189	5624	23980
190	5675	24037
191	5737	24145
192	5787	24199
193	5839	24262
194	5885	24295
195	5940	24366
196	6002	24467
197	6066	24572
198	6153	24768
199	6217	24871
200	6284	24982
201	6368	25158
202	6432	25253
203	6507	25391
204	6589	25554
205	6648	25624
206	6744	25836
207	6768	25771
208	6829	25847
209	6853	25783
210	6906	25825
211	6995	26003
212	7038	26007
213	7084	26022
214	7124	26011
215	7236	26265
216	7314	26392
217	7364	26416
218	7424	26477
219	7484	26537
220	7520	26509
221	7554	26475
222	7633	26598
223	7715	26728
224	7764	26743
225	7853	26895
226	7950	27072
227	8012	27131
228	8064	27150
229	8132	27227
230	8176	27219
231	8216	27199
232	8322	27396
233	8382	27441
234	8436	27463
235	8504	27529
236	8530	27462
237	8583	27482
238	8657	27565
239	8714	27595
240	8754	27569
241	8797	27556
242	8865	27616
243	8937	27691
244	9004	27747
245	9061	27775
246	9109	27770
247	9155	27762
248	9197	27738
249	9260	27780
250	9326	27831
251	9390	27874
252	9466	27951
253	9557	28071
254	9628	28129
255	9713	28230
256	9778	28269
257	9828	28266
258	9897	28315
259	9951	28322
260	10022	28376
261	10141	28566
262	10199	28582
263	10278	28656
264	10356	28724
265	10415	28741
266	10459	28714
267	10519	28733
268	10582	28756
269	10626	28731
270	10683	28740
271	10774	28838
272	10831	28845
273	10885	28842
274	10938	28837
275	10982	28808
276	11031	28793
277	11085	28789
278	11134	28773
279	11175	28736
280	11216	28699
281	11268	28690
282	11326	28695
283	11410	28767
284	11475	28788
285	11567	28878
286	11613	28851
287	11683	28884
288	11737	28876
289	11793	28874
290	11876	28936
291	11936	28941
292	12035	29040
293	12096	29048
294	12188	29128
295	12269	29181
296	12318	29158
297	12407	29228
298	12469	29235
299	12506	29181
300	12585	29226
301	12649	29237
302	12706	29228
303	12766	29228
304	12833	29243
305	12885	29224
306	12992	29329
307	13050	29321
308	13113	29325
309	13180	29338
310	13227	29304
311	13285	29295
312	13356	29315
313	13416	29311
314	13490	29337
315	13540	29310
316	13607	29318
317	13644	29262
318	13675	29194
319	13735	29186
320	13775	29139
321	13834	29129
322	13877	29086
323	13952	29111
324	14027	29133
325	14088	29127
326	14105	29030
327	14137	28965
328	14192	28946
329	14235	28901
330	14313	28929
331	14385	28944
332	14475	28994
333	14515	28943
334	14566	28914
335	14630	28911
336	14672	28866
337	14765	28919
338	14826	28909
339	14877	28879
340	14922	28838
