iter	Passed	Remaining
0	10	10684
1	20	10330
2	30	10186
3	40	10125
4	50	9983
5	59	9847
6	68	9768
7	78	9707
8	88	9743
9	98	9718
10	107	9663
11	116	9626
12	125	9552
13	135	9531
14	145	9554
15	155	9581
16	165	9554
17	174	9513
18	184	9521
19	193	9493
20	202	9463
21	213	9502
22	223	9473
23	231	9432
24	241	9409
25	250	9377
26	259	9351
27	268	9333
28	278	9314
29	287	9288
30	296	9277
31	306	9257
32	315	9234
33	324	9211
34	333	9201
35	343	9188
36	352	9185
37	361	9162
38	370	9139
39	379	9115
40	389	9103
41	398	9086
42	407	9071
43	416	9051
44	425	9037
45	434	9012
46	444	9018
47	454	9005
48	463	8990
49	472	8981
50	482	8974
51	491	8966
52	500	8951
53	510	8942
54	519	8925
55	528	8911
56	538	8904
57	547	8892
58	557	8889
59	566	8878
60	576	8872
61	585	8862
62	595	8853
63	605	8853
64	621	8935
65	636	9004
66	646	9001
67	656	8997
68	665	8983
69	676	8993
70	687	8989
71	696	8975
72	705	8962
73	715	8956
74	725	8944
75	734	8931
76	744	8920
77	753	8905
78	763	8895
79	772	8881
80	781	8864
81	790	8847
82	799	8835
83	809	8821
84	818	8815
85	828	8800
86	838	8798
87	848	8789
88	857	8776
89	867	8767
90	876	8755
91	887	8756
92	896	8743
93	905	8726
94	914	8712
95	923	8700
96	933	8688
97	943	8679
98	953	8680
99	963	8670
100	972	8658
101	982	8649
102	991	8638
103	1002	8633
104	1012	8628
105	1021	8618
106	1031	8608
107	1041	8599
108	1050	8588
109	1061	8591
110	1071	8578
111	1080	8566
112	1090	8559
113	1099	8548
114	1109	8535
115	1119	8531
116	1128	8517
117	1138	8506
118	1147	8494
119	1156	8481
120	1165	8467
121	1174	8453
122	1183	8441
123	1193	8430
124	1202	8417
125	1211	8404
126	1220	8390
127	1229	8377
128	1238	8365
129	1248	8352
130	1257	8338
131	1266	8326
132	1275	8314
133	1284	8303
134	1293	8288
135	1302	8276
136	1312	8264
137	1321	8254
138	1330	8243
139	1339	8230
140	1349	8218
141	1358	8207
142	1367	8195
143	1377	8186
144	1386	8175
145	1395	8162
146	1404	8150
147	1413	8138
148	1423	8127
149	1431	8114
150	1441	8103
151	1450	8090
152	1459	8079
153	1468	8068
154	1477	8057
155	1487	8045
156	1496	8036
157	1506	8027
158	1515	8017
159	1525	8009
160	1535	8000
161	1544	7991
162	1554	7981
163	1563	7971
164	1573	7964
165	1583	7954
166	1592	7945
167	1607	7962
168	1621	7973
169	1632	7970
170	1642	7960
171	1651	7951
172	1661	7944
173	1671	7934
174	1680	7924
175	1690	7916
176	1700	7906
177	1709	7895
178	1719	7885
179	1728	7874
180	1738	7866
181	1747	7855
182	1757	7845
183	1766	7835
184	1776	7824
185	1785	7814
186	1795	7805
187	1805	7797
188	1815	7788
189	1824	7778
190	1834	7770
191	1843	7759
192	1853	7749
193	1863	7740
194	1872	7730
195	1882	7723
196	1892	7714
197	1902	7706
198	1912	7696
199	1922	7689
200	1932	7683
201	1943	7676
202	1952	7666
203	1962	7657
204	1972	7649
205	1982	7640
206	1993	7637
207	2003	7629
208	2012	7618
209	2021	7605
210	2031	7596
211	2040	7585
212	2050	7575
213	2059	7563
214	2068	7551
215	2077	7540
216	2087	7531
217	2096	7521
218	2105	7509
219	2115	7500
220	2125	7490
221	2134	7479
222	2143	7470
223	2154	7462
224	2163	7451
225	2173	7442
226	2182	7432
227	2192	7422
228	2202	7415
229	2211	7403
230	2220	7393
231	2230	7384
232	2240	7374
233	2249	7362
234	2258	7352
235	2268	7342
236	2277	7332
237	2287	7323
238	2296	7313
239	2306	7303
240	2315	7291
241	2324	7280
242	2333	7269
243	2343	7259
244	2352	7249
245	2361	7239
246	2371	7228
247	2380	7218
248	2389	7208
249	2399	7197
250	2408	7186
251	2417	7175
252	2426	7165
253	2436	7155
254	2445	7145
255	2455	7136
256	2465	7127
257	2475	7119
258	2486	7113
259	2495	7103
260	2506	7096
261	2515	7086
262	2525	7078
263	2535	7069
264	2544	7058
265	2554	7048
266	2563	7038
267	2572	7027
268	2582	7017
269	2597	7024
270	2612	7027
271	2623	7020
272	2632	7011
273	2643	7003
274	2652	6993
275	2662	6983
276	2672	6974
277	2681	6964
278	2691	6954
279	2701	6947
280	2712	6939
281	2721	6929
282	2731	6919
283	2741	6910
284	2750	6900
285	2760	6891
286	2770	6881
287	2779	6871
288	2789	6862
289	2798	6851
290	2807	6841
291	2819	6835
292	2828	6826
293	2838	6815
294	2848	6807
295	2857	6796
296	2866	6785
297	2876	6776
298	2886	6766
299	2896	6757
300	2906	6748
301	2915	6739
302	2925	6729
303	2935	6720
304	2945	6710
305	2954	6700
306	2963	6690
307	2974	6681
308	2983	6671
309	2993	6662
310	3002	6652
311	3011	6641
312	3021	6631
313	3030	6620
314	3039	6609
315	3049	6600
316	3058	6589
317	3067	6579
318	3077	6569
319	3086	6559
320	3096	6549
321	3105	6539
322	3115	6529
323	3124	6519
324	3133	6508
325	3143	6498
326	3152	6487
327	3161	6477
328	3170	6466
329	3179	6455
330	3189	6445
331	3198	6435
332	3207	6424
333	3216	6413
334	3225	6402
335	3234	6392
336	3244	6382
337	3253	6372
338	3262	6361
339	3272	6351
340	3281	6341
341	3290	6331
342	3300	6321
343	3309	6310
344	3318	6300
345	3328	6290
346	3337	6280
347	3346	6270
348	3356	6260
349	3365	6250
350	3374	6239
351	3383	6228
352	3392	6218
353	3402	6208
354	3411	6199
355	3421	6189
356	3430	6179
357	3441	6170
358	3451	6162
359	3461	6153
360	3470	6143
361	3480	6134
362	3490	6124
363	3499	6115
364	3509	6105
365	3519	6096
366	3528	6086
367	3538	6077
368	3548	6067
369	3557	6057
370	3566	6047
371	3582	6048
372	3597	6047
373	3607	6038
374	3617	6029
375	3627	6020
376	3637	6011
377	3647	6001
378	3657	5992
379	3667	5983
380	3676	5973
381	3686	5964
382	3696	5955
383	3706	5946
384	3716	5936
385	3726	5928
386	3737	5919
387	3746	5909
388	3756	5900
389	3766	5891
390	3776	5881
391	3786	5872
392	3796	5863
393	3807	5855
394	3816	5846
395	3826	5836
396	3836	5827
397	3846	5818
398	3856	5808
399	3865	5798
400	3874	5788
401	3884	5778
402	3894	5768
403	3903	5758
404	3913	5749
405	3922	5739
406	3932	5730
407	3942	5719
408	3951	5710
409	3962	5701
410	3971	5690
411	3980	5680
412	3989	5669
413	3998	5659
414	4007	5649
415	4016	5638
416	4026	5629
417	4035	5618
418	4044	5608
419	4054	5598
420	4063	5587
421	4072	5577
422	4081	5567
423	4091	5557
424	4100	5547
425	4110	5538
426	4120	5529
427	4130	5519
428	4139	5510
429	4149	5501
430	4159	5491
431	4169	5481
432	4178	5471
433	4187	5461
434	4197	5451
435	4206	5441
436	4215	5431
437	4225	5421
