iter	RMSE
0	42270.51519
1	41016.89595
2	39908.85326
3	38984.40058
4	38154.85635
5	37401.88927
6	36758.36951
7	36219.3765
8	35747.9959
9	35303.19782
10	34900.64429
11	34515.19189
12	34153.3101
13	33827.73659
14	33523.63792
15	33300.67535
16	33057.18591
17	32844.3834
18	32625.34612
19	32416.21059
20	32236.68589
21	32082.01326
22	31929.73901
23	31788.4241
24	31677.96169
25	31554.94968
26	31440.66874
27	31344.19206
28	31219.30659
29	31144.49162
30	31030.10571
31	30926.17362
32	30830.74365
33	30734.07696
34	30654.63753
35	30553.26445
36	30493.73593
37	30408.59428
38	30334.5367
39	30274.84389
40	30175.58966
41	30091.47749
42	30034.80863
43	29975.7238
44	29900.23293
45	29844.17849
46	29793.75327
47	29728.25688
48	29672.05944
49	29588.03335
50	29524.97851
51	29478.04065
52	29444.61524
53	29402.68435
54	29334.51136
55	29281.15428
56	29229.21533
57	29162.72975
58	29098.37151
59	29064.29405
60	29016.61761
61	28981.20886
62	28899.11389
63	28856.45869
64	28768.31722
65	28716.42567
66	28671.77943
67	28616.40358
68	28557.60994
69	28488.87323
70	28459.94636
71	28414.45329
72	28371.69461
73	28318.44328
74	28280.13193
75	28244.06104
76	28184.68836
77	28145.73082
78	28094.63971
79	28043.27591
80	27992.57303
81	27958.1411
82	27908.00618
83	27875.26455
84	27822.11053
85	27752.41413
86	27706.5781
87	27671.06651
88	27613.88915
89	27567.29626
90	27527.05421
91	27467.70638
92	27432.45254
93	27403.33723
94	27370.79522
95	27333.03646
96	27289.86629
97	27225.5306
98	27190.08777
99	27138.50534
100	27101.34513
101	27074.59277
102	27022.12018
103	26967.54222
104	26899.06274
105	26856.86187
106	26803.2753
107	26758.44607
108	26700.76759
109	26660.68818
110	26627.48637
111	26586.77062
112	26551.68145
113	26515.26022
114	26473.82011
115	26428.81254
116	26379.57438
117	26347.02575
118	26301.0274
119	26263.46545
120	26214.96475
121	26167.34313
122	26117.29839
123	26078.73224
