iter	Passed	Remaining
0	10	10520
1	20	10237
2	29	9888
3	40	9962
4	49	9946
5	59	9910
6	69	9878
7	79	9799
8	88	9706
9	97	9636
10	106	9617
11	116	9629
12	126	9575
13	136	9583
14	145	9581
15	155	9541
16	164	9503
17	173	9484
18	189	9764
19	202	9942
20	212	9893
21	222	9874
22	231	9841
23	241	9834
24	251	9810
25	260	9773
26	270	9730
27	279	9697
28	288	9658
29	297	9618
30	307	9600
31	316	9569
32	326	9567
33	336	9556
34	345	9529
35	355	9506
36	364	9489
37	374	9475
38	383	9449
39	392	9428
40	401	9397
41	411	9374
42	419	9345
43	428	9320
44	437	9293
45	447	9274
46	456	9254
47	465	9236
48	475	9236
49	485	9217
50	494	9193
51	503	9171
52	512	9157
53	521	9139
54	530	9119
55	539	9099
56	548	9078
57	557	9056
58	566	9036
59	575	9019
60	585	9008
61	594	8988
62	603	8972
63	612	8957
64	621	8943
65	631	8933
66	640	8923
67	650	8909
68	658	8891
69	668	8881
70	677	8865
71	686	8848
72	695	8832
73	704	8819
74	713	8805
75	723	8790
76	732	8775
77	741	8759
78	749	8742
79	758	8725
80	767	8708
81	776	8692
82	785	8678
83	794	8665
84	804	8654
85	812	8637
86	821	8624
87	831	8613
88	841	8609
89	850	8602
90	860	8590
91	869	8578
92	877	8562
93	886	8548
94	895	8534
95	904	8521
96	913	8506
97	923	8501
98	932	8488
99	942	8479
100	951	8473
101	962	8474
102	972	8465
103	981	8457
104	990	8444
105	1000	8435
106	1009	8425
107	1018	8412
108	1027	8396
109	1036	8384
110	1045	8374
111	1054	8360
112	1063	8349
113	1072	8335
114	1082	8328
115	1092	8322
116	1101	8310
117	1110	8298
118	1120	8297
119	1129	8284
120	1139	8275
121	1147	8260
122	1157	8250
123	1168	8258
124	1185	8301
125	1199	8317
126	1209	8310
127	1219	8305
128	1228	8295
129	1237	8284
130	1247	8273
131	1256	8264
132	1266	8257
133	1276	8248
134	1285	8239
135	1295	8228
136	1304	8215
137	1313	8205
138	1322	8194
139	1332	8183
140	1342	8177
141	1351	8166
142	1361	8158
143	1370	8149
144	1380	8139
145	1389	8128
146	1399	8120
147	1409	8113
148	1418	8103
149	1428	8092
150	1437	8081
151	1446	8070
152	1455	8059
153	1465	8049
154	1474	8039
155	1483	8025
156	1492	8015
157	1501	8004
158	1511	7994
159	1520	7982
160	1529	7972
161	1538	7960
162	1548	7950
163	1557	7939
164	1567	7930
165	1576	7918
166	1585	7907
167	1594	7897
168	1603	7886
169	1613	7875
170	1622	7865
171	1631	7853
172	1640	7841
173	1649	7830
174	1658	7820
175	1667	7808
176	1677	7798
177	1686	7787
178	1695	7776
179	1704	7765
180	1713	7754
181	1723	7744
182	1732	7735
183	1741	7724
184	1750	7712
185	1759	7701
186	1768	7690
187	1778	7681
188	1787	7671
189	1797	7662
190	1806	7650
191	1815	7638
192	1824	7627
193	1833	7617
194	1842	7606
195	1852	7599
196	1861	7588
197	1870	7577
198	1880	7567
199	1889	7559
200	1898	7547
201	1907	7537
202	1916	7525
203	1926	7516
204	1935	7507
205	1945	7499
206	1954	7489
207	1964	7479
208	1973	7470
209	1982	7458
210	1991	7446
211	2000	7437
212	2010	7426
213	2019	7417
214	2028	7407
215	2038	7398
216	2047	7387
217	2056	7377
218	2065	7366
219	2074	7354
220	2083	7345
221	2092	7334
222	2102	7324
223	2110	7312
224	2120	7302
225	2128	7291
226	2138	7281
227	2147	7271
228	2163	7285
229	2178	7293
230	2190	7290
231	2201	7286
232	2210	7277
233	2220	7267
234	2229	7256
235	2238	7246
236	2248	7237
237	2257	7226
238	2266	7217
239	2275	7207
240	2285	7197
241	2294	7186
242	2303	7176
243	2312	7165
244	2321	7155
245	2330	7144
246	2340	7135
247	2349	7123
248	2358	7113
249	2367	7101
250	2376	7091
251	2385	7081
252	2394	7070
253	2404	7063
254	2414	7053
255	2423	7043
256	2432	7033
257	2442	7023
258	2451	7013
259	2460	7002
260	2469	6992
261	2478	6981
262	2487	6970
263	2496	6960
264	2506	6950
265	2515	6940
266	2524	6930
267	2533	6919
268	2542	6908
269	2551	6897
270	2561	6889
271	2571	6881
272	2580	6870
273	2589	6860
274	2598	6849
275	2607	6839
276	2616	6828
277	2625	6819
278	2635	6809
279	2644	6799
280	2653	6789
281	2663	6780
282	2672	6770
283	2681	6760
284	2691	6751
285	2700	6740
286	2709	6730
287	2718	6720
288	2727	6711
289	2737	6701
290	2746	6692
291	2755	6681
292	2765	6672
293	2774	6661
294	2783	6652
295	2792	6641
296	2802	6632
297	2810	6621
298	2819	6610
299	2828	6600
300	2838	6591
301	2847	6581
302	2857	6572
303	2866	6563
304	2876	6555
305	2885	6545
306	2895	6535
307	2904	6525
308	2913	6515
309	2922	6504
310	2931	6495
311	2940	6485
312	2949	6474
313	2958	6464
314	2968	6454
315	2977	6445
316	2986	6435
317	2995	6425
318	3005	6415
319	3013	6404
320	3023	6394
321	3032	6384
322	3041	6374
323	3050	6364
324	3059	6355
325	3069	6345
326	3078	6336
327	3088	6327
328	3098	6318
329	3107	6308
330	3116	6299
331	3125	6289
332	3135	6280
333	3153	6288
334	3166	6285
335	3177	6280
336	3187	6271
337	3196	6261
338	3206	6251
339	3215	6242
340	3225	6233
341	3236	6226
342	3245	6217
343	3255	6208
344	3265	6199
345	3274	6189
346	3283	6179
347	3293	6170
348	3303	6162
349	3314	6155
350	3324	6147
351	3334	6137
352	3343	6128
353	3352	6118
354	3362	6109
355	3371	6099
356	3380	6089
357	3390	6079
358	3399	6069
359	3409	6060
360	3418	6050
361	3428	6042
362	3438	6034
363	3448	6025
364	3457	6015
365	3466	6004
366	3476	5995
367	3485	5986
368	3494	5976
369	3504	5966
370	3513	5956
371	3522	5947
372	3532	5937
373	3541	5926
374	3551	5918
375	3560	5909
376	3569	5899
377	3579	5889
378	3588	5879
379	3597	5869
380	3606	5859
381	3616	5850
382	3625	5840
383	3635	5831
384	3644	5821
385	3653	5811
386	3663	5802
387	3672	5792
388	3681	5782
389	3690	5772
390	3699	5762
391	3709	5752
392	3718	5743
393	3727	5733
394	3736	5723
395	3745	5713
396	3755	5703
397	3764	5694
398	3774	5684
399	3783	5674
400	3792	5664
401	3801	5655
402	3811	5645
403	3820	5636
404	3829	5626
405	3839	5617
406	3849	5608
407	3858	5598
408	3868	5589
409	3877	5580
410	3887	5571
411	3897	5561
412	3906	5552
413	3915	5542
414	3925	5533
415	3934	5524
416	3944	5515
417	3955	5507
418	3965	5498
419	3975	5489
420	3984	5479
421	3994	5470
422	4004	5462
423	4013	5452
424	4022	5442
425	4032	5433
426	4042	5424
427	4052	5416
428	4062	5406
429	4071	5397
430	4081	5388
431	4091	5378
432	4100	5369
433	4110	5360
434	4121	5353
435	4140	5356
436	4156	5355
437	4169	5349
438	4179	5341
439	4189	5332
440	4199	5322
441	4209	5314
442	4219	5305
443	4229	5296
444	4239	5287
445	4249	5278
446	4258	5268
447	4268	5259
448	4278	5249
449	4288	5240
