iter	RMSE
0	43110.55307
1	42436.40269
2	41906.60145
3	41390.02376
4	40819.32429
5	40352.63716
6	39893.44645
7	39469.39688
8	39037.12664
9	38660.82083
10	38320.17527
11	38002.5974
12	37676.31307
13	37428.06497
14	37162.35979
15	36914.67963
16	36672.84899
17	36462.86642
18	36239.47755
19	36041.24407
20	35840.92526
21	35656.34197
22	35484.6506
23	35329.21246
24	35191.80702
25	35041.50537
26	34910.9315
27	34764.52852
28	34647.42206
29	34514.10572
30	34420.04169
31	34320.48077
32	34235.36307
33	34147.30701
34	34052.20561
35	33956.20476
36	33834.84618
37	33747.06341
38	33672.6602
39	33568.00549
40	33487.04302
41	33417.59702
42	33351.41086
43	33268.25104
44	33187.85215
45	33112.94056
46	33033.12903
47	32978.71988
48	32930.31991
49	32885.12902
50	32849.43329
51	32804.97884
52	32744.63969
53	32667.02432
54	32611.19325
55	32567.08292
56	32508.9297
57	32458.81745
58	32425.07266
59	32378.16398
60	32343.89627
61	32294.48965
62	32230.75306
63	32197.65954
64	32157.32758
65	32115.56106
66	32088.15409
67	32054.77365
68	32016.59787
69	31985.86375
70	31947.9464
71	31911.82768
72	31872.54282
73	31829.26855
74	31795.13376
75	31772.71887
76	31733.43921
77	31715.24984
78	31680.35031
79	31653.14578
80	31619.72359
81	31591.80229
82	31569.41826
83	31540.74711
84	31501.193
85	31482.87994
86	31458.24952
87	31430.23733
88	31409.20863
89	31381.02365
90	31358.29298
91	31328.05182
92	31304.65163
93	31285.09781
94	31259.26915
95	31219.71175
96	31191.80843
97	31172.16671
98	31155.66567
99	31139.49294
100	31122.00304
101	31106.02698
102	31082.0569
103	31054.29334
104	31038.21139
105	31015.07283
106	31003.19706
107	30978.18983
108	30968.34865
109	30948.35386
110	30930.6986
111	30919.81846
112	30902.75358
113	30886.15345
114	30863.79519
115	30848.83135
116	30834.25431
117	30819.30029
118	30802.46868
119	30779.08746
120	30760.93977
121	30747.76032
122	30729.95256
123	30707.44344
124	30690.59892
125	30676.7109
126	30658.17418
127	30645.13093
128	30631.45576
129	30606.07798
130	30591.41511
131	30568.73609
132	30555.79689
133	30531.68239
134	30506.71352
135	30490.30353
136	30471.05243
137	30454.09644
138	30443.70204
139	30428.95705
140	30414.05601
141	30403.92776
142	30379.83906
143	30359.99095
144	30349.53897
145	30334.48144
146	30308.19488
147	30294.57883
148	30281.1707
149	30264.07381
150	30247.78907
151	30236.18168
152	30217.14428
153	30206.74721
154	30194.87228
155	30182.91128
156	30177.09756
157	30161.3576
158	30140.11814
159	30129.21246
160	30115.94699
161	30099.19311
162	30082.236
163	30064.33447
164	30053.22836
165	30040.07101
166	30021.72183
167	30006.19786
