iter	Passed	Remaining
0	154	154433
1	164	81881
2	176	58639
3	188	46936
4	196	39173
5	207	34411
6	219	31074
7	232	28817
8	241	26592
9	253	25096
10	263	23655
11	275	22712
12	286	21776
13	296	20902
14	309	20303
15	322	19836
16	336	19481
17	346	18880
18	357	18455
19	368	18053
20	380	17755
21	389	17318
22	401	17071
23	412	16787
24	425	16588
25	439	16469
26	452	16297
27	461	16022
28	483	16180
29	498	16120
30	511	15989
31	522	15807
32	535	15697
33	546	15530
34	559	15433
35	572	15336
36	583	15199
37	596	15092
38	609	15007
39	622	14931
40	634	14830
41	643	14672
42	655	14580
43	666	14491
44	680	14432
45	691	14341
46	703	14267
47	715	14188
48	727	14113
49	740	14060
50	752	14009
51	763	13918
52	779	13920
53	789	13839
54	804	13819
55	818	13803
56	830	13738
57	842	13684
58	854	13632
59	868	13609
60	884	13608
61	895	13542
62	906	13476
63	915	13396
64	928	13356
65	942	13340
66	952	13264
67	964	13222
68	979	13211
69	990	13158
70	1001	13099
71	1012	13052
72	1023	12998
73	1036	12971
74	1048	12937
75	1059	12879
76	1069	12820
77	1083	12805
78	1091	12721
79	1103	12687
80	1113	12635
81	1123	12579
82	1132	12507
83	1142	12457
84	1153	12416
85	1163	12370
86	1175	12338
87	1186	12293
88	1196	12250
89	1207	12213
90	1218	12174
91	1229	12136
92	1240	12099
93	1252	12068
94	1262	12022
95	1273	11992
96	1283	11944
97	1292	11898
98	1303	11861
99	1312	11812
100	1321	11766
101	1331	11723
102	1339	11664
103	1349	11626
104	1361	11604
105	1372	11578
106	1382	11536
107	1392	11498
108	1401	11453
109	1411	11419
110	1421	11383
111	1432	11359
112	1442	11326
113	1454	11307
114	1464	11270
115	1476	11248
116	1488	11234
117	1498	11198
118	1509	11174
119	1521	11160
120	1532	11131
121	1542	11100
122	1554	11083
123	1564	11054
124	1575	11031
125	1588	11020
126	1599	10993
127	1610	10968
128	1617	10917
129	1628	10898
130	1639	10872
131	1651	10860
132	1666	10863
133	1680	10859
134	1693	10849
135	1705	10833
136	1716	10814
137	1727	10791
138	1739	10777
139	1753	10769
140	1765	10754
141	1779	10750
142	1792	10741
143	1807	10742
144	1821	10737
145	1835	10735
146	1850	10739
147	1863	10726
148	1874	10707
149	1887	10696
150	1899	10681
151	1912	10672
152	1922	10641
153	1933	10623
