iter	Passed	Remaining
0	142	141993
1	152	76291
2	163	54415
3	177	44221
4	191	38082
5	205	34028
6	219	31180
7	232	28857
8	243	26834
9	257	25470
10	269	24191
11	282	23220
12	294	22322
13	306	21596
14	320	21025
15	330	20343
16	345	19966
17	359	19587
18	369	19098
19	381	18716
20	394	18394
21	406	18089
22	417	17752
23	432	17597
24	445	17393
25	457	17142
26	468	16880
27	481	16708
28	493	16531
29	504	16325
30	516	16131
31	530	16036
32	542	15891
33	555	15772
34	565	15596
35	579	15515
36	592	15429
37	605	15330
38	616	15195
39	629	15099
40	640	14982
41	654	14937
42	669	14892
43	681	14817
44	696	14791
45	709	14712
46	720	14599
47	732	14536
48	744	14454
49	757	14388
50	770	14342
51	781	14247
52	792	14162
53	804	14101
54	817	14043
55	828	13958
56	839	13888
57	849	13803
58	861	13735
59	872	13669
60	885	13630
61	895	13548
62	907	13502
63	918	13438
64	929	13369
65	943	13347
66	954	13293
67	967	13262
68	980	13226
69	990	13155
70	1000	13096
71	1011	13040
72	1023	12997
73	1034	12946
74	1045	12896
75	1056	12845
76	1069	12816
77	1082	12796
78	1092	12742
79	1103	12694
80	1115	12660
81	1126	12606
82	1136	12552
83	1148	12520
84	1158	12466
85	1170	12443
86	1182	12405
87	1194	12379
88	1206	12349
89	1219	12333
90	1232	12307
91	1246	12297
92	1256	12249
93	1268	12222
94	1279	12191
95	1292	12171
96	1304	12139
97	1318	12134
98	1328	12094
99	1338	12048
100	1351	12032
101	1364	12013
102	1375	11982
103	1387	11952
104	1397	11911
105	1408	11877
106	1419	11846
107	1431	11820
108	1443	11802
109	1455	11774
110	1469	11768
111	1483	11762
112	1495	11741
113	1509	11734
114	1521	11711
115	1531	11672
116	1543	11647
117	1554	11621
118	1567	11603
119	1577	11568
120	1587	11533
121	1600	11521
122	1613	11505
123	1626	11491
124	1637	11459
125	1648	11433
126	1660	11415
127	1671	11389
128	1683	11368
129	1693	11333
130	1705	11316
131	1715	11283
132	1727	11261
133	1738	11234
134	1751	11222
135	1764	11210
136	1776	11191
137	1786	11159
138	1798	11143
139	1812	11131
140	1825	11119
141	1836	11094
142	1846	11068
143	1858	11046
144	1869	11024
145	1883	11015
146	1894	10995
147	1903	10960
148	1916	10945
149	1926	10919
150	1937	10895
151	1953	10896
152	1965	10879
153	1976	10859
154	1989	10847
155	2001	10828
