iter	RMSE
0	42266.84299
1	40951.28523
2	39855.921
3	38885.29291
4	38104.50172
5	37423.57158
6	36790.33129
7	36253.89318
8	35776.68895
9	35363.97835
10	34968.6163
11	34608.94576
12	34255.97613
13	33940.81823
14	33611.10178
15	33365.25573
16	33102.28724
17	32864.1515
18	32663.45963
19	32471.26387
20	32289.98011
21	32122.10508
22	31987.11112
23	31861.47257
24	31743.96586
25	31623.53586
26	31523.98563
27	31405.9558
28	31293.28378
29	31203.07505
30	31100.74192
31	31003.41255
32	30903.02701
33	30825.73898
34	30755.91171
35	30668.13371
36	30594.5647
37	30528.22009
38	30433.30718
39	30373.03352
40	30296.48761
41	30242.55319
42	30191.91209
43	30110.53194
44	30057.57711
45	29989.64623
46	29936.08282
47	29865.05453
48	29817.07708
49	29755.39042
50	29650.73688
51	29585.87256
52	29544.77612
53	29495.03689
54	29436.75357
55	29378.42231
56	29341.72996
57	29293.06049
58	29252.50061
59	29209.02324
60	29185.6905
61	29154.4166
62	29096.96243
63	29053.37293
64	29009.75464
65	28974.42146
66	28911.17506
67	28868.72701
68	28824.03956
69	28759.75573
70	28715.04545
71	28655.4544
72	28596.5859
73	28551.50921
74	28504.09112
75	28459.90934
76	28435.7167
77	28401.46905
78	28364.64862
79	28332.15961
80	28249.70857
81	28187.11845
82	28134.94611
83	28101.41869
84	28040.51016
85	28000.83008
86	27953.4088
87	27913.1215
88	27870.49982
89	27832.96879
90	27787.85057
91	27728.06552
92	27701.67595
93	27643.77263
94	27604.01166
95	27559.06699
96	27516.36594
97	27478.802
98	27415.54392
99	27376.00143
100	27326.5492
101	27294.08588
102	27252.91259
103	27199.00592
104	27155.66916
105	27097.47864
106	27063.64127
107	27034.45424
108	26985.18056
109	26937.74362
110	26889.19504
111	26834.52272
112	26785.33324
113	26757.1724
114	26709.30691
115	26661.09371
116	26617.50816
117	26581.36264
118	26552.95014
119	26528.39802
120	26498.7659
121	26457.98024
122	26412.22613
123	26377.15045
124	26324.75436
125	26266.77212
126	26206.01671
127	26170.42571
128	26121.33199
129	26093.2226
130	26044.24224
131	26006.53199
132	25957.61718
133	25924.15716
134	25882.76678
135	25837.62899
136	25790.49753
137	25740.21828
138	25705.63424
139	25665.3291
140	25634.08175
141	25600.35998
142	25568.84069
143	25537.05607
144	25479.06618
145	25432.40656
146	25398.60653
147	25360.36274
148	25324.84264
149	25287.31347
150	25247.49221
151	25211.17592
152	25171.94915
153	25149.75813
154	25102.94262
155	25075.87491
156	25050.42607
157	25013.2544
158	24989.45576
159	24961.15225
160	24914.02625
161	24892.19043
162	24869.35498
163	24837.01146
164	24799.28651
165	24781.57606
166	24762.06801
167	24724.0139
168	24690.51654
169	24655.33814
170	24625.68554
171	24597.02845
172	24565.45962
173	24547.0398
174	24516.86185
175	24488.39095
176	24458.04978
177	24432.34939
178	24399.48644
179	24365.66051
180	24344.59241
181	24310.03886
182	24282.96713
183	24265.46301
184	24239.39749
185	24209.87844
186	24186.50836
