iter	Passed	Remaining
0	17	17074
1	34	17309
2	52	17517
3	67	16890
4	83	16559
5	98	16373
6	115	16431
7	132	16369
8	149	16503
9	166	16453
10	181	16358
11	198	16348
12	215	16398
13	231	16336
14	246	16206
15	262	16164
16	277	16068
17	293	16005
18	310	16022
19	325	15966
20	342	15979
21	357	15896
22	374	15897
23	391	15921
24	408	15926
25	425	15942
26	442	15944
27	456	15853
28	472	15815
29	488	15786
30	502	15713
31	521	15787
32	537	15743
33	555	15769
34	570	15740
35	587	15740
36	604	15743
37	621	15735
38	636	15694
39	653	15672
40	669	15667
41	684	15623
42	702	15625
43	720	15650
44	737	15643
45	754	15651
46	771	15638
47	786	15599
48	803	15592
49	820	15581
50	838	15599
51	855	15603
52	871	15567
53	886	15530
54	903	15517
55	920	15514
56	936	15486
57	951	15447
58	967	15427
59	985	15435
60	990	15254
61	1007	15243
62	1025	15258
63	1045	15289
64	1062	15286
65	1080	15286
66	1097	15289
67	1114	15271
68	1128	15233
69	1145	15217
70	1163	15222
71	1181	15225
72	1196	15197
73	1211	15157
74	1226	15131
75	1241	15095
76	1257	15076
77	1273	15058
78	1290	15048
79	1307	15036
80	1325	15035
81	1344	15055
82	1361	15037
83	1377	15023
84	1392	14994
85	1410	14992
86	1427	14982
87	1443	14962
88	1458	14924
89	1475	14914
90	1491	14900
91	1507	14879
92	1523	14858
93	1538	14829
94	1553	14801
95	1569	14778
96	1586	14768
97	1602	14748
98	1618	14732
99	1636	14732
100	1654	14723
101	1673	14734
102	1692	14736
103	1709	14729
104	1725	14709
105	1743	14704
106	1758	14677
107	1774	14655
108	1790	14637
109	1805	14606
110	1821	14591
111	1837	14571
112	1855	14561
113	1870	14538
114	1886	14517
115	1901	14492
116	1917	14473
117	1934	14458
118	1949	14430
119	1964	14407
120	1980	14387
121	1997	14378
122	2013	14352
123	2033	14363
124	2048	14336
125	2062	14308
126	2078	14290
127	2093	14264
128	2109	14242
129	2125	14224
130	2141	14208
131	2157	14189
132	2173	14165
133	2188	14145
134	2204	14122
135	2219	14103
136	2236	14087
137	2252	14071
138	2268	14053
139	2288	14056
140	2306	14049
141	2322	14034
142	2337	14010
143	2354	13994
144	2370	13975
145	2386	13960
146	2403	13949
147	2420	13932
148	2436	13915
149	2452	13896
150	2469	13882
151	2484	13861
152	2499	13836
153	2515	13820
154	2533	13810
155	2548	13790
156	2564	13770
157	2580	13752
158	2596	13733
159	2612	13713
160	2628	13696
161	2644	13680
162	2662	13671
163	2678	13656
164	2696	13646
165	2713	13633
166	2731	13626
167	2747	13605
168	2764	13594
169	2780	13575
170	2798	13564
171	2814	13548
172	2829	13524
173	2845	13505
174	2862	13493
175	2877	13472
176	2892	13447
177	2908	13429
178	2924	13411
179	2942	13403
180	2960	13397
181	2979	13393
182	3001	13399
183	3021	13400
184	3038	13383
185	3053	13364
186	3068	13339
187	3084	13323
188	3100	13305
189	3116	13285
190	3132	13269
191	3149	13253
192	3165	13234
193	3180	13214
194	3196	13195
195	3212	13176
196	3227	13156
197	3244	13142
198	3259	13120
199	3275	13100
200	3290	13080
201	3306	13062
202	3322	13044
203	3337	13024
204	3353	13003
205	3368	12982
206	3383	12962
207	3400	12949
208	3417	12932
209	3433	12915
210	3448	12895
211	3464	12876
212	3480	12858
213	3498	12851
214	3513	12827
215	3528	12805
216	3544	12788
217	3559	12768
218	3574	12748
219	3589	12725
220	3604	12703
221	3620	12688
222	3636	12669
223	3653	12655
224	3668	12636
225	3684	12617
226	3701	12603
227	3716	12583
228	3731	12563
229	3747	12545
230	3762	12525
231	3779	12510
232	3794	12492
233	3810	12473
234	3826	12456
235	3842	12437
236	3858	12420
237	3874	12403
238	3890	12388
239	3905	12365
240	3921	12349
241	3938	12337
242	3955	12320
243	3972	12308
244	3988	12290
245	4010	12291
246	4025	12270
247	4039	12250
248	4056	12235
249	4072	12217
250	4088	12200
251	4105	12185
252	4123	12174
253	4139	12157
254	4157	12146
255	4174	12131
256	4193	12124
257	4212	12113
258	4230	12103
259	4247	12088
260	4264	12074
261	4281	12058
262	4297	12043
263	4315	12030
264	4332	12017
265	4349	12002
266	4365	11983
267	4381	11966
268	4397	11950
269	4411	11928
270	4428	11912
271	4443	11894
272	4461	11879
273	4478	11867
274	4495	11850
275	4512	11835
276	4529	11822
277	4546	11806
278	4561	11787
279	4578	11772
280	4594	11756
281	4613	11746
282	4628	11727
283	4644	11709
284	4660	11690
285	4676	11675
286	4691	11654
287	4706	11635
288	4723	11620
289	4738	11600
290	4754	11582
291	4768	11561
292	4784	11543
293	4800	11527
294	4815	11508
295	4831	11490
296	4845	11469
297	4860	11450
298	4876	11432
299	4891	11412
300	4907	11397
301	4924	11382
302	4942	11368
303	4960	11355
304	4977	11342
305	4995	11330
306	5014	11319
307	5031	11304
308	5047	11288
309	5063	11270
310	5079	11254
311	5095	11236
312	5111	11219
313	5127	11201
314	5145	11188
315	5162	11174
316	5178	11157
317	5194	11141
318	5210	11123
319	5227	11107
320	5243	11092
321	5259	11074
322	5274	11055
323	5291	11040
324	5307	11023
